text,label
ye bhi khoj kaa vishay he ki modi ji ke koun se aise kaam he jinase janata khush ho kar bampar bahumat de rahi he kyon ki naa manhagaai ghati naa kisaan aatmahatya rukii naa bhrishtachar kam hua naa gundaraj khatm hua naa nokarshahi khatm hui naa kashmir ke halaat badale balki bad se battar hue naa pakistan par shikanja majboot hua naa china ne aankh dikhaani band kii naa aatankwaad kaa khaatmaa hua naa rojgaar bade naa kisaanon ko unka samarthan mulya mila naa garibo ke liye kalyankari yojanaayen bani naa kalaadhan waapas aayaa naa notebandi se logon ko phayda hua naa videshi dauron se laabh mila naa congress ke damaad par kaarywahi hui naa g ghotaale ke doshi jail gayi naa koyala ghotaalaa karne vaale jail gayi naa kaamanwealth game ke gunaahagaar jail gayi naa ganga saaf hui naa rail durghatnaye rukii naa congress mukt bharat hua balki congress yukt bijepi ho gai naa vijay maalya ko pakadaa gaya naa lokapal ko paas kiya ulte rti ke adhikaar kaam kiye naa shiksha ke kshetra main koi sudhaar hua ulte bajet kam kiya naa swathy ke kshetra main koi sudhaar kiya naa sarkari hospital kii sthati sudhari naa sabakaa saath sabakaa vikaas hua  to kya badla  saal main jo janata itnaa khush he ki har chunaav main bijepi ko bampar bahumat mil rahaa hai or bharat me bijepi ecchhatra raaj kii taraf bad rahi hebijepi sirf hindu muslim ko ladane ki raajnneeti kar rahi he wo bhi sirf vot bank ke liye or satta paane ke liye kya koi he jo is paheli ko samaj sake aapke jawaab kaa intjaar he is post ko dekhakar ab bijepi ke chamachon kii fategi or i baukhala ke apane maa behan or baap kaa parichay denge  dhanyavad jai hind,CAG
hinduo ki soch cow talak namaz burkha me lage hue h inhe khud se jyada musalmano ki chinta ho rhi ye nhi dekhte army kaise gazar muli ki trh mar rhe h bs modi modi kra lo inse,OAG
koi barbartha kaise ho saktha hai aur indian jawaano ke lash pakistan ke haath akhir laghe kaise ,OAG
lagi mulle ke pachhwade me mirchi,CAG
 dil kholkar  or  bina dar ke  likhte hain fasebuk pe sachai agar  gumraah karte to modi ji kii jagah hote,CAG
is chutiye ko toap ke aagey baandh ke un ki taraf daago suar jahan bhi jaata hain sabse pehle nanga kiya jaata hain phir iski talashi iske saare cheiko mein daal ke ki jaati hain porkistan ki is najayaz aulad ko iski aukat dikhao ye suar phir kabhi bakwaas nhi karega,OAG
tashreef abe suar abhi centre aur mp dono me bjp hai agar vo chahte to yeh apne member ko bacha sakte the par inhone esa nahi kiya aur uss isi ke agent ko pakdaya yehi saabit karta hai ki modiji kitne acche leader hai,NAG
nhi us ka naam hoga bablu k maa ki suji hui fuddi,OAG
bilkul sahi bole bhai ,OAG
agar is duniya azaan nahe hogi to subha he nii hogi azaan poore duniya mai ek second bhe nii band hoti hai ookkk ,CAG
kashmir mein bhi pakistanis disguise mein hotae h jo stones fektae h tum log he daangae karwa rae ho udr bhi ki kashmiris ki sympathy jeet logae well humari population jyada h defend karte rehagae aur humare kitnae soilders martae h kashmir mein,CAG
centre main sarkaar badalte hi suraksha ke sarokaar bhi badal gaye kai puraane netaaon se suraksha waapas lee ja rahi he dekhen kin netaaon se waapas lee gai suraksha httpkhabarndtvcomvideoshownewskhabarfb,OAG
news main rhane ka accha mauka hai desh aur army army aur bharat mata,NAG
av unki sarkar h agar isliye bus ninda hi kar sakte h,OAG
ek aadmi kii car parking se chori ho gayi do din baad dekha to car waapas usee jagah parking main hi khadi thi andar ek lipapha tha usame ek maafinama tha maan kii tabiyat achaanak bighad jane se raaton raat bade aspataal lekar janaa aavashyak tha lekin itani raat main or chhuttiyon ke sijan main gadee mili nahin isi vajah se aapaki gaadi ko upyog main lenaa padaa aapako takalif dene ke liye khed he gadee main jitna petrol tha utana hi he uskaa laac bhi thik kara diya he  aapako gaadi kii madad ke evaj main kal raat bahubali  cinema kii  tikets aapke parivaar ke liye car main rakhen hai mujhe bade dil ke saath maaf kariye ye vinati he aapse  chitthee main story original lagane se or gaadi jaisi kii taisi waapas sahi salaamat milane se parivaar shant ho gaya or duusare din bahubali  dekhne chalaa gaya parijan or ek mitra aakhir  lakh kii gaadi waapas jo mil gayi thi  film dekhakar raat ko waapas lautaa to ghar kaa darwaja tutaa hua tha andar jaakar dekha to sab keemtee saamaan gaayab tha kareeb  lakh kii chori ho gayi thi  baahar teble par ek lipapha tha jisame likhaa tha ucab pataa chalaa ki katappa ne bahubali ko kyon maaraa ud,NAG
ajam khan ke jaisa ek illiterate indian bhi aisi murkhatapurn baat nahin kar sakata hai,OAG
hahhaa bhosdi k  me lahore me tiranga flag fahra diya tha hmne asal uttar yad h  me  pakistani soldiers ki gaand mari thi hizda army,OAG
are midiya balo ab tumara sher kya gidad ban gaya chunao ke samy to sher ban jate ho ye bhi dikhao ye bhi modi ji ki hi lahr he hamara desh jabse aajad hua aj tak nhi mare jitne in tin salo me mare gaye,CAG
congress to thik hai lekin vampanthi party me rashtravadi  asambhav,CAG
sale ananswami tarkfate or bhi he jo pak anahi nahi chate bhikh msngo,CAG
shamali modiji internet main modi ji aap yah shikaayat kii kis tarah se electronic mobile se transection kiya jaataa he  lesan hona chahie,NAG
kahe re tor bhahin ke akhilesh aur prajapati let rahin ka apn dekha le tor maa bhahan kaha kaha marattha hai,OAG
ye hain achche din,CAG
hahahahaha aap k jawan serf marny k lie hai pak army k hato,OAG
is kutta ko jabar jadti bandh ke sainiko ke sath bhejo seema pe sala sarkari paiso ko chori kiya nikal ab jai hind,OAG
duniya ke sabase mote shaks kii gastric surgery kii taiyaari puri ho chuki he media reporton ke anusaar mexico ke doctoron ne is surgery ke liye taarikh tay kar di he samachar agency jinhuaujuanpedrofranco,NAG
un logon ko shame aani chahie jo apni jeet kaa jashn manaa rahe unke dukh dekho jinke apane vir sapoot putr apni dharti ke liye shahid hue hai  jai hind ,NAG
tm log sirf movies mn dialoge mar skty ho real mn giddar ho kargil mn  mn  mn tmari oqat tmn yad dilai thitm bht bolty ho k hm bara mulk hn himmat ha tu border pe aao na khushboo lga kr saly dall khor log ho tm pahly apni army ka khana du aur apny garoon mn washroom bnao phir pakistan se fight krna,CAG
madi ji jumla bazi ki naotanki band kro desh par dhayan do janta aisa talaq de gee ki halala bhi nahi kar sako ge,CAG
anjana ji or beti shweta singh  aapako nahin lagata  ki desh main punya prasoon vaajapeyi or kejariwal kii sthiti  ek jaisi ho gai he ,CAG
teri sister ko pel kr pakistan mai bhej dunga,OAG
ab ye kaun h,NAG
javaid ahmad khan abhi to bus pellet guns se tumhari fati hai ak se goli chalne pe pata nahi kya karoge itni garmi hai to jake pakistan pe bus jao aur wahin pe apni roji roti kamao india me apni maa chuda raha hai behanchod,OAG
tab anna desh ka pahla cm hoga jo lete lete kaam karega,NAG
modi ji laal batti hatane bhar se kaam nahi chalane vaala jab sarkari karmchaariyon kaa pension band to vidhayakon or saasadon kaa bhi pension or anya phijul kharache band hona chahie ,NAG
koi bada businessman government ka supporter hoga woh uska shoe brand ka business chalaigi very simple,CAG
us waqt tum kya soye huye the jab malda me muslim logo ne hindu k gharo ko funk diye tha,OAG
anirban kundu durr ho bokchod,OAG
ab hume yeah samajh nahi araha ke amit sha bade mujrim hai ya lalu parsad yadav amit ke upar qatl ka arop hai aur lalu ke upar cruption ka koi tu batao in dono me bada apradhi kaun hai,OAG
aaj mujhe modi aur raaj naath pe bahut gussa aa raha hai hamare senana ka sar kaat kar le gaye dogle pakistani aur hamare desh ke neta sirf subah shaam ninda kar rahe asp neta log sae kuchh nahi hota hai to hum sare hindustaniyo ko hi chhoot dede raajnaath ji saale pakistaniyon ke ghuske maarenge saale pakistaniyon ko bradaast ki had hoti hai modi ji incha ka seena sirf hum hindustaniyo ko bewakuf bnane ke liye hi dikhaya hai modi jay hin jay bharat,OAG
jab jahaj samundar mein thoda dagmagataa hai to sabse pahle usme se choohe nikal kar baagte hai biswaas jee ye party ko mazboot karne ka time hai uskee jadhe katne ka nahishame,CAG
jis ke sar kii keemat das paise bhi nahin us par das lakh laga die tarek fatah k naam lovejihadindia jab pakistani kute kii maut aati he to hindustan kii taraf bhaagta he sargical strike main ye kutta kaise batch niklaa yaaro,CAG
yogi to puja chod cm bn gya ab aap bi politicians ki languages bol rhe ho ,CAG
hamaare grih mantralay kii taraf se isaki kadi ninda kii jaayegi,CAG
apni siyasat chamkany k lie apni borhi maa ko takleef de rahah h jahil mudi,CAG
kya milta in desh bhakton ko ek phulon ki haar woh bhi kisi sherni maa se nehin ek lootere criminal mantri se kitne subhash aur kitne bhagat sing ta abhi bhi galiwon mein kuda dan ke sath apne feeling share karte heinhum jeise so called civilised ek haar ki alaba aur kuchh bhi nehin desakte hein ,CAG
ab teen din jo bacha hai sansad ka bjp wale khud hangama karke sansad chalne nhi denge aur pm ko bolne se bachaya ja sakta hai qki bjp ko mudda mil gaya hai aaj tak ke sting ka pr qya bjp aur cong k netaon ka b sting kiya gaya hai kale dhan ko badalwane ka,OAG
jo kaam aapane  saal main nahi kiya o kaam  inch sine ne  saal main kar dikhaaya,CAG
vishal bas sattar sal sattar sal ka nara lagao aur khud ko aur desh ko chutia banao abe zara bhi sharam hai to dub mar,OAG
jayanti chander miti shrivastava ye to kar hi sakte hain ,NAG
ilaz  kiska ,NAG
modi ji ko chahiye ki pakistan ke upr anubomb dal de taki ye roz roz ki khitpit dur ho jaye,CAG
hatyare sja mile chahe wo koi v lekin aisa nahi hoga kyoki wo to bjp ka mla h uske liye sb maf h,CAG
oo la la la le lo oo la la la la mooh mein lo,OAG
janaab shri arun puri sahab  punya prasoon vaajapeyi naam kaa ekmaatr jaharila magaramchh  aapke ajtak ke puure parivararupi talab ko ganda kar rahaa he  nikaal baahar karo is manahuus ko arun ji varanaa ye puure talab ko ganda kar degaa ,OAG
media mai koi hindu ki oulad nahi hai kya jo tum log hinduo ki burai karte rahte ho tum log itne kamjo ho gaye jitna ki koi bhikhari bhi kamjor nahi hota agar tum jab hinduo par pakistan mai ho rahe atyachar ko kyo nahi batate mulle media wale,OAG
me inhi achche dino k liye saalo se marr raha tha,OAG
aapko to satta ka durupyog kya hota hai malum hi nahi,OAG
desh k tukadey kar k raj karna chatey hai to kya hoga vidarbha bhi alag chatey hai leadero ko sharam ani chaiya,NAG
south city gudgaanv kaa arkedia complex bam kii soochna ke baad khaali karaayaa gaya jaanch ke baad bam kii soochna galat nikali,NAG
hmare sainik mrr rhe h or hm sirf post tbah kr rhe h ,CAG
gamelin niyukti maamle main kejariwal ko mila congress or sipiem kaa saath padhein khabar httpgooglddxsi,NAG
india ne  bar surgical strike kiya pakistan to hamesa karta hai aakhir kya ho gaya hai hamare desh ke sena ko isse aachha hai sare sena apne apne ghar chale jaye kam se kam apke ghar ke log khus rahege kyoki aapke marne ke bad koi aapka kami pura nahi karega is desh ke sare ke sare neta gaddar hai kuchh nahi hoga is desh ka,CAG
ab modi or rajnath ko bhokana band kar need se jaagnaa hi hoga nahi to desh kabhi maaf nahi karegaa,OAG
sare jahan se acha hindusta hamara,NAG
chutya nndnbo hindu h apne acc kaam krega,OAG
pappu gandhi,CAG
 premvivaah  manachaaha pyaar  kaamkaarobaar  pati  patni main anban   lav marij vaseekaran sautan dushman chhutkaaraa pati patni anban gruhaklesh karja mukti  niqusantan ek baar phone jarur kar call now ,NAG
mar jao salo bike lunch k naam pe ghor attaychar chalu hai yaha pe,OAG
un haramkhor netaa ko pehle maaro jo peletagan kaa virodh karata he,CAG
besharmon wo video sabake bare main hai,OAG
modi ji jab gujarat ke mantri the tab jawaano ke sir kaate gayi the us samay pm ji ne bolaa tha kii ek sir ke badale do sir laayege it kaa jawaab pathar se denge wo sab kaha he kab tak chup rahege ,CAG
vikas ke nam pe kisano ka karj maf karne ka wada ab yad nhi aa rha to media ko lekar romio ko pakad rhe hai ar muslmano ki roji roti pe lat mar rhe hai band karna hai to pura up me mans band kr do ye kya chutiyapa hai ,OAG
sahi kaha hai kutte ko ghee hajam nahi hota bjp ki halat yahi ho rahi hai,OAG
acchhee khabar he  lekin badla to barabari se liya jaataa he bharat ke saamne paak kaa aisa aukaat nahi he phir bhi hamaari sena ko maar rahaa he ab aise me paak kaa nakshaa mitaanaa hi uskaa sahi ilaaj lagata he ,CAG
bjp ka chmha,OAG
sabhi ko mil jul kar chalna padega ab gundaraj samaapt hoga,NAG
jiska sirf naam lene per gaddar kaha jaata ho uske pita ke saath khare in mahashay ko kya kaha jay,CAG
tbi kh rha hu apni okat m rhe pakistan nii to hme aati h tume tumhari okat dikhani,CAG
gaurav bhai kya kare jiski fati padi h unki dimag kam nhi kar raha h ,CAG
vedo k anusar hindu cow maans kha sakte hain rss janta ko fool bana raha hai,OAG
dangai ke kursi main baith jane se charitra nahi sudharta,CAG
baba ke shraap dene se hi pakistani mar jaayenge ,CAG
kab or kitne sar kaatane ke baad kahaan he wo ek ke badale das sir kya wo sirf chunavi bhaashan hi tha,CAG
kapil ek bakwas comedian h ,OAG
sonu nigam ko police thane me kal hajir hona he kal,CAG
pakistan kly sabak sikhaanaa hi padegaa modiji desh kii janata aapke saath hry dho daalo saalon kly vishwaas karo hindu kya muslim kya sikh kya sab aapke saath hry bahut ho gaya ab dekha nahi jaataa ,CAG
aur lo modi sarkarab ro lo poori umar,OAG
 lakh freedom fighter ko day do,NAG
phle apne ko kamiyb banao bhai fir islam duniya bad main soshna,CAG
pm ko chunavi rally s fursat mile to army n desh ka bare m kuch kare prachar vahan ban gaye hein modi,CAG
a aamaadmi parti sablogose phon karke abhise donesan magana surukardiya he to age abhito rasta bahutlamba hey,CAG
chief cook  rajdeep your history channel tv  telegu is not good get me some thing good fed up watching the repeat telecast,OAG
sala rajniti karta hai pure muslim bhi nahi hai yai,OAG
bjp ne tou cong ke neta apni party mai ley kar record bana diya hai neta ji ko ye pata nahi shayad ki apki party unko foolo ka haar pahnakar apna banati hai,CAG
agar inke bas ki nahi hai toh hume bhej do border,OAG
vidya mustache is like two antennas now bzz bzz,NAG
sabit ho gaya ki film ke safal hone ke liye ashleelata or bade naam vaale hero kii aavashyaktaa nahi he,NAG
yah rajanetaaon kii chaal he jab funsate hai to kamine kahenge hanitrap kuch khilaa diya mujhako nanga kar diya meri ijjat lunt lee gandi gandi harkate kii use pataa kaise chalaa ki kya harakatein kii jhuthe saalle  paap karke aidwance bachaav kaary kar lete hai,OAG
jab julm kii bad jaati he hade tut jaati he tab sabar kii sarahadein ll inn hukumato kaa mar chukaa he zamir  tabhi to jal rahaa he swarg jaisaa kashmir ll,NAG
isi me to tum khush ho hi lakin aisa nhi chalta rhega,NAG
to galati he is me rahul jnu me jaa ke drasdrohe yo ke saath date he sir f saata ke liye ye saata ke liye das ko bach dage,CAG
modi ji kuch karo aa aahe din aatakwaadi hamale ho rahai,OAG
n bne vhi thek hai ek kejri se desh presan hai,CAG
lekin isis or aatankwaadi sanghathan se to jarur mail khata he ye ek kadava sach he,OAG
chor yaar  baar vejne k baad v nahi dikha to rehne de ankho wale andhe bhai tu dkha v hoga to bolega thore,OAG
sahido k ghar walo ko santi nahi milegi jab tak ham log inlogo ke ghar me ghus kar inko marege nahi tak tak inki antama ko santi nahin milegi maro salo ko ,OAG
bhakt nhi dikh rahe hai,CAG
toh aapne un gareeb logon ki maut ke upper majaak udaa rahe ho haans ke jo nasht hue woh gareeb log the ameer log ko kuch nahi hua,NAG
aaj raat  baje naghmandtv ke saath dekhiye international agenda  khatare main hai iraq or china ke alpsankhyak,NAG
kohi maakohi wife apne admi ko army nahi vegegi daily ka natak sahid sahid,CAG
post tabah krne se kuch nhi hoga  k badale  ko maro,OAG
notebandi se aatankwaad drug taskari mafiyagiri usee tarah band ho gaye hai jaise modiji ke aane ke baad logon ke khate main  lakh aa gaye hai,CAG
bhai bahre hote to azaan kaise sunte azaan ki awaaz isiliye sunayee padti kiyounki azaan k awaaz se nind kharab hoti hai aur sena k merne ki awaaz usk family k aansoo inlogon ko sakoon deta hai tabhi sakoon se soye rahte hain inki nind nahi tutti inn awaazon se tabhi to ye log desh bhakt hain,CAG
sonu tu to chutiya nikla aaj se tere gaane sunna bandufufc,OAG
in saale netaoo ko apne apne chair ki fikr hai saalo dubb maro tum log ,OAG
tu bhonko to deshbhakti ham bole to deshadrohi,OAG
mulla hona aasan nhi hai galib ye to risto ka mara hai bahan bhai k sath bhai ammee k sath abbu beti aur bahan chudai ka mara had ,OAG
lalu chaara khaaya na is liye budhi satiya,OAG
aur jagannath mishra ke bare me keya khayal hai,CAG
surgical strike ka traylar tha pictur to abhi baqi h  bewakofo randin agr ye do mare unkay sath   aur thy woh kahan ma chudane gay buzdil bhag gay kia socho randin,OAG
jo mera hae mera to wo bhi nahin hae to mujhay tumharay mahloon se kia,NAG
chaliye baki ko noukri milegi,CAG
byan to tera bhi nahi aaya tha sukma pr aaj kyu bhok raha hi,CAG
jo taali bajaa rahe hai usko acha samajh mein aaya somg,NAG
bhai tune aadhi baate galat likhi haufuf,CAG
deshbhumi uttrakhand kii pehali janhiton ke liye samarpit sarkaar ko giraane kii bhul karne vaale sattalolupu netaaon ko roke modi naitikta kii duhai dene vaale kyon tiwari bahuguna ke kushasan kumbh va starjia prakaran par mook rahe nai dillipyau loksabhaa chunaav  main desh kii janata ne jahaan manamohani kushasan se mukti ke liye narendra modi kaa aitihaasik samarthan de kar purna bahumat se sattashin karne kaa kaary kiya desh kii janata dwaara sushasan kii aash main diye is samarthan kii aad main kuch padlolupu uttrakhand bhaajapai netaa devbhumi uttrakhand main rajya gathan ke  saal baad sattashin pehali janhiton ke liye samarpit harish ravat kii sarkaar ko giraane ke liye narendra modi ko gumraah kar rahe hai aaj uttrakhand kii janata ne kendra main asin rahi manamohani kushasan ko ukhaad phenkane va desh main sushasan ko sthapit karne ke liye narendra modi ko khulaa samarthan diya he na kii pradesh main rajya gathan ke baad pehali baar janaankankshaon ko saakaar karne ke liye samarpit ho kar kaam kar rahi harish ravat kii sarkaar ko giraane ke liye desh ke jananaayak modi ko is baat kaa ahsaas hoga ki uttrakhand main ab tak jitani bhi bhaajapa va congress kii sarkarein rahi tiwari khandudi nishank va bahuguna aadi unhone pradesh kii janaankankshaon ko saakaar karne ke bajaay unka galaa ghontne kaa kaam kiya aise janhiton ko nirmamata se raundne vaale kushasako va gat varsh kaa kedarghati main aayi traasadee se ubarne main kargar sabit ho rahe pradesh ke vartmaan mukhyamantri harish ravat kii sarkaar ko kaaphi aashaayein he jis prakaar se mukhyamantri harish ravat ne apane chand mahine ke shashan main kai jamini kaary karke janata ke dammagaate vishwaas ko patari main laane kaa kaam kiya uske baad pradesh kii janata ko laga ki pehali baar apni koi sarkaar sattashin hui he khaskakar jo sarkaar garesenn ke sapane ko saakaar karne ke liye krit sankalpit ho jo sarkaar kii janata ke sarkaron se utar chuke vishwaas ko patari par laa sakati he jo sarkaar bhrashtachari naukarshahon va netaaon ke gathjod par ankush laga saktaa he jo uttrakhand janaankankshaon ko saakaar karne ke liye krit sankalpit he nahin to purvavarti tiwari khandudi nishank va bahuguna kii sarkaron ne jis nirmamata se pradesh kii janaankakshaon ko raundne kaa kaam kiya tha usase janata kaa vishwaas hi tut gaya tha jis prakaar se purvavarti sarkaron ne mujfarnagarkand ke doshiyon ko sangrakshan dene gairsann par chhalane jansankhya par aadhaarit parisemen thopane bhrashtachar ke krityon se janata ko chhalane kaa kaary hi kiya pradesh kii janata main abhi kumbh ghotaale va starjia ghotaale va bahuguna ke kushasan ke dansh abhi bhi vyathit kar rahe he aise main naitikta kii duhai dene vaale bhaajapa ke tamaam netaa chaahe khandudi ho yaa nishank yaa satpal maharaj inamen se kisi ko bhi naitikta kii duhai dene kaa haq nahin he ye netaa bataaye ki ye log starjia kumbh prakaran  tiwari va bahuguna ke kushasan aadi par kyon sharmnaak mook rakhe hue the kyon inhone mujfarnagar kand ke gunaahagaaron va mulaayam ke kaharon ko sangrakshan dene kaa kaam kiya kyon ne netaa apane sankeern swaarth ke peeche pradesh ko baandhon main duubon kar barbaad karne ke liye jute hue the  kyon inhone jansankhya par aadhaarit parisemen par mook saadh kar pradesh ke hiton ko raundne kaa kaary kiya,CAG
pure desh me diwali manao ladoo bhanto or do din ki sarkari chutti ghoshait kr do is saflata pr,CAG
iska jimedar midiya bhi hai,CAG
ye andar kii ladaai band karo mil jul kar kaam karo or khushhaal desh banaao tum jaiso ne desh barbaad kar diya he koi kaam kar rahaa he to uskaa saath do  sabaki tarakkee me hi bhala hai ,CAG
mujhe yhe nhi samjh aata humara media china ko answer de par kya bole apne desh ke media se kya bole unhe to bs paise dhikhte h or rating bs,CAG
kuch ko toll tax ki padi hai shopping ki padi hai bhaiyo thoda desh ke liye kar lo yehi moka hai,CAG
sare muslim hi modi ko galat bolte hain dimaag me galat bhar chuka hai congress,CAG
modiji agar aap ke paas kashmir naksalwad aatankwaad bangladeshi ghuspeth pakistani mulle bharat me rehane vaale kute ki nasl hinduvo par ho rahaa atyaachaar kalam  saamaan nagari kaayda or rajkeey muslim chatugiri kaa koi haal naahi he to pliz pliz aap apane pad se istipha de dijiye hame congress mukt naahi uparokt gandagi mukt bharat chaiye ,OAG
muslims ne hindustaan ka hamesha bura hi chaha h teri soch baki sab se alag nahi ho sakti azam khan suwar,OAG
kai comp ke results ashcharyajanak lagta ha barraat niklnae walee ha ,NAG
